file,id,title,title_original,author,author_original,year,axis_t,axis_r,r1_priority,r1_tradition,r1_role,canon_id,read_status,verification_status,source_refs
伊本·白图泰游记.md,WL-WORK-T1-RIHLA,伊本·白图泰游记,Rihla,伊本·白图泰,Ibn Battuta,,T1 中古多中心文学世界,R1 西亚—地中海古老传统,,阿拉伯文学传统,,,未读,人工核验,旅行书单.md:2009;旅行书单.md:2010;旅行书单.md:2130;旅行书单.md:293;旅行书单.md:308
会饮篇.md,WL-WORK-2017,会饮篇,,柏拉图,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,古希腊文学传统,,,未读,自动通过,爱情书单.md:155;爱情书单.md:1764
传说（尼玛·尤希吉）.md,WL-WORK-R1-NIMA-AFSANEH,传说（尼玛·尤希吉）,Afsaneh,尼玛·尤希吉,Nima Yushij,1922,T4 全球现代主义时代,R1 西亚—地中海古老传统,◆,波斯—伊朗文学传统,近代/现代诗歌转型,,未读,手工核验,
但以理书.md,WL-WORK-1404,但以理书,,佚名,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,希伯来—犹太文学传统,,,未读,自动通过,神话书单.md:181
俄狄浦斯王.md,WL-WORK-1408,俄狄浦斯王,,索福克勒斯,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,古希腊文学传统,,CANON-005,未读,自动通过,神话书单.md:1366;神话书单.md:363
凯雷特史诗.md,WL-WORK-1413,凯雷特史诗,,佚名,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,黎凡特—迦南与乌加里特文学传统,,,未读,自动通过,神话书单.md:145
出埃及记.md,WL-WORK-1414,出埃及记,,佚名,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,希伯来—犹太文学传统,,,未读,自动通过,神话书单.md:169
列王纪.md,WL-WORK-1416,列王纪,Shahnameh,菲尔多西,,,T1 中古多中心文学世界,R1 西亚—地中海古老传统,,波斯—伊朗文学传统,,CANON-014,未读,自动通过,神话书单.md:1354;神话书单.md:248;神话书单.md:250;战争书单.md:243
创世记.md,WL-WORK-1004,创世记,,佚名,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,希伯来—犹太文学传统,,,未读,自动通过,家族书单.md:132;家族书单.md:218;神话书单.md:1036;神话书单.md:1352;神话书单.md:161
卡拉贾奥兰诗歌.md,WL-WORK-R1-KARACAOGLAN,卡拉贾奥兰诗歌,Poems of Karacaoğlan,卡拉贾奥兰,Karacaoğlan,,T2 早期现代文学,R1 西亚—地中海古老传统,△,土耳其—奥斯曼文学传统,民间诗歌/asik传统,,未读,手工核验,
卡里来和笛木乃.md,WL-WORK-T1-KALILA,卡里来和笛木乃,Kalīla wa-Dimna,伊本·穆格法,Ibn al-Muqaffaʿ,,T1 中古多中心文学世界,R1 西亚—地中海古老传统,,阿拉伯文学传统,,,未读,需复核,
历史（希罗多德）.md,WL-WORK-R1-HERODOTUS-HISTORIES,历史（希罗多德）,Histories,希罗多德,Herodotus,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,◆,古希腊文学传统,历史书写,,未读,手工核验,
变形记.md,WL-WORK-1423,变形记,Metamorphoses,奥维德,Ovid,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,罗马与拉丁文学传统,,CANON-009,未读,手工核验,神话书单.md:1370;神话书单.md:397
古兰经.md,WL-WORK-R1-QURAN,古兰经,Quran,传统文本,,,T1 中古多中心文学世界,R1 西亚—地中海古老传统,★,阿拉伯文学传统,古兰经语言/修辞/经典化,,未读,手工核验,
吉尔伽美什史诗.md,WL-WORK-1425,吉尔伽美什史诗,,佚名,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,两河文学传统,,CANON-001,未读,自动通过,神话书单.md:1056;神话书单.md:1349;神话书单.md:1424;神话书单.md:90;神话书单.md:94
吕西斯特拉忒.md,WL-WORK-T0-LYSISTRATA,吕西斯特拉忒,Lysistrata,阿里斯托芬,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,◆,古希腊文学传统,喜剧,,未读,,
哈菲兹诗集.md,WL-WORK-R1-HAFEZ-DIVAN,哈菲兹诗集,Divan of Hafez,哈菲兹,Hafez,,T1 中古多中心文学世界,R1 西亚—地中海古老传统,★,波斯—伊朗文学传统,ghazal抒情顶峰,,未读,手工核验,
哈里里玛卡梅集.md,WL-WORK-3188,哈里里玛卡梅集,Maqāmāt al-Harīrī,哈里里,al-Hariri of Basra,read_status: 未读,T1 中古多中心文学世界,R1 西亚—地中海古老传统,,阿拉伯文学传统,,CANON-246,未读,需复核,
埃努玛·埃利什.md,WL-WORK-1432,埃努玛·埃利什,,佚名,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,两河文学传统,,,未读,自动通过,神话书单.md:1035;神话书单.md:104;神话书单.md:1350
埃及亡灵书.md,WL-WORK-1433,埃及亡灵书,,佚名,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,古埃及文学传统,,,未读,自动通过,神话书单.md:1353;神话书单.md:208
埃拉史诗.md,WL-WORK-1434,埃拉史诗,,佚名,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,两河文学传统,,,未读,自动通过,神话书单.md:120
埃涅阿斯纪.md,WL-WORK-0640,埃涅阿斯纪,,维吉尔,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,罗马与拉丁文学传统,,CANON-008,未读,自动通过,冒险书单.md:236;历史书单.md:104;神话书单.md:1369;神话书单.md:385;神话书单.md:393;战争书单.md:233;海盗书单.md:155
太阳下的人们.md,WL-WORK-2047,太阳下的人们,Men in the Sun,加桑·卡纳法尼,Ghassan Kanafani,1963,T5 二战后多极文学,R1 西亚—地中海古老传统,,阿拉伯文学传统,,CANON-247,未读,手工核验,战争书单.md:1594
奥德赛.md,WL-WORK-0653,奥德赛,,荷马,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,古希腊文学传统,,CANON-003,未读,自动通过,冒险书单.md:118;冒险书单.md:1688;冒险书单.md:1849;冒险书单.md:194;冒险书单.md:2135;冒险书单.md:2270;奇幻书单.md:1738;神话书单.md:1362;神话书单.md:1424;神话书单.md:325;神话书单.md:391;战争书单.md:203;战争书单.md:2081;海盗书单.md:1330;海盗书单.md:139
女英雄书简.md,WL-WORK-1443,女英雄书简,,奥维德,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,罗马与拉丁文学传统,,,未读,自动通过,神话书单.md:402;爱情书单.md:157
孪生兄弟.md,WL-WORK-R1-MENAECHMI,孪生兄弟,Menaechmi,普劳图斯,Plautus,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,◆,罗马与拉丁文学传统,喜剧,,未读,手工核验,
安提戈涅.md,WL-WORK-1445,安提戈涅,,索福克勒斯,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,古希腊文学传统,,CANON-006,未读,自动通过,神话书单.md:364
宫间街.md,WL-WORK-1069,宫间街,,纳吉布·马哈福兹,Naguib Mahfouz,,T5 二战后多极文学,R1 西亚—地中海古老传统,,阿拉伯文学传统,,,未读,自动通过,家族书单.md:1203;二战后多极书单.md:644
宰娜卜.md,WL-WORK-R1-ZAYNAB,宰娜卜,Zaynab,穆罕默德·侯赛因·海卡尔,Muhammad Husayn Haykal,1913,T4 全球现代主义时代,R1 西亚—地中海古老传统,★,阿拉伯文学传统,现代阿拉伯小说形成;Nahda之后的现代文类转型;乡村社会与现代民族想象,,未读,手工核验,
尤努斯·埃姆雷诗集.md,WL-WORK-R1-YUNUS-EMRE,尤努斯·埃姆雷诗集,Yunus Emre Divanı,尤努斯·埃姆雷,Yunus Emre,,T1 中古多中心文学世界,R1 西亚—地中海古老传统,★,土耳其—奥斯曼文学传统,早期安纳托利亚神秘诗,,未读,手工核验,
岁时记.md,WL-WORK-1449,岁时记,,奥维德,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,罗马与拉丁文学传统,,,未读,自动通过,神话书单.md:401
工作与时日.md,WL-WORK-1451,工作与时日,Works and Days,赫西俄德,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,古希腊文学传统,,,未读,手工核验,神话书单.md:1359;神话书单.md:298
巴力神话组诗.md,WL-WORK-1452,巴力神话组诗,,佚名,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,黎凡特—迦南与乌加里特文学传统,,,未读,自动通过,神话书单.md:139
巴基诗集.md,WL-WORK-R1-BAKI-DIVAN,巴基诗集,Bâkî Divanı,巴基,Bâkî,,T2 早期现代文学,R1 西亚—地中海古老传统,★,土耳其—奥斯曼文学传统,Ottoman Divan宫廷诗,,未读,手工核验,
巴比伦神义论.md,WL-WORK-R1-BABYLONIAN-THEODICY,巴比伦神义论,Babylonian Theodicy,佚名,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,◆,两河文学传统,智慧/争辩文学,,未读,手工核验,
希波吕托斯.md,WL-WORK-1456,希波吕托斯,,欧里庇得斯,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,古希腊文学传统,,,未读,自动通过,神话书单.md:367
库萨里.md,WL-WORK-T1-KUZARI,库萨里,Kuzari,犹大·哈列维,Judah Halevi,,T1 中古多中心文学世界,R1 西亚—地中海古老传统,,希伯来—犹太文学传统,,,未读,人工核验,
开罗三部曲.md,WL-WORK-2852,开罗三部曲,The Cairo Trilogy,纳吉布·马哈福兹,Naguib Mahfouz,read_status: 未读,T5 二战后多极文学,R1 西亚—地中海古老传统,,阿拉伯文学传统,,CANON-191,未读,需复核,
往事.md,WL-WORK-3196,往事,Temol Shilshom,什穆埃尔·约瑟夫·阿格农,S. Y. Agnon,read_status: 未读,T5 二战后多极文学,R1 西亚—地中海古老传统,,希伯来—犹太文学传统,,CANON-255,未读,需复核,
德德·科尔库特之书.md,WL-WORK-R1-DEDE-KORKUT,德德·科尔库特之书,Kitab-ı Dede Korkut,佚名,Anonymous,,T1 中古多中心文学世界,R1 西亚—地中海古老传统,★,土耳其—奥斯曼文学传统,奥古兹史诗与口传传统;口传向书写文本固定;跨安纳托利亚与高加索的突厥文化记忆,,未读,手工核验,
思宫街.md,WL-WORK-1109,思宫街,,纳吉布·马哈福兹,Naguib Mahfouz,,T5 二战后多极文学,R1 西亚—地中海古老传统,,阿拉伯文学传统,,,未读,自动通过,家族书单.md:1204
恩基与宁玛赫.md,WL-WORK-1459,恩基与宁玛赫,,佚名,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,两河文学传统,,,未读,自动通过,神话书单.md:118
恩基与宁胡尔萨格.md,WL-WORK-1460,恩基与宁胡尔萨格,,佚名,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,两河文学传统,,,未读,自动通过,神话书单.md:117
悬诗.md,WL-WORK-3187,悬诗,Al-Mu'allaqāt,多位诗人,Various,read_status: 未读,T1 中古多中心文学世界,R1 西亚—地中海古老传统,,阿拉伯文学传统,,CANON-245,未读,需复核,
悲观主义者塞义德的奇异事件.md,WL-WORK-1704,悲观主义者塞义德的奇异事件,,埃米尔·哈比比,Emile Habibi,,T5 二战后多极文学,R1 西亚—地中海古老传统,,阿拉伯文学传统,,,未读,自动通过,二战后多极书单.md:1184
我们街区的孩子们.md,WL-WORK-1710,我们街区的孩子们,,纳吉布·马哈福兹,Naguib Mahfouz,,T5 二战后多极文学,R1 西亚—地中海古老传统,,阿拉伯文学传统,,CANON-208,未读,自动通过,二战后多极书单.md:1188
我的名字叫红.md,WL-WORK-3192,我的名字叫红,Benim Adım Kırmızı,奥尔罕·帕慕克,Orhan Pamuk,read_status: 未读,T6 当代全球文学,R1 西亚—地中海古老传统,,土耳其—奥斯曼文学传统,,CANON-251,未读,需复核,
扎哈克.md,WL-WORK-1463,扎哈克,,菲尔多西,,,T1 中古多中心文学世界,R1 西亚—地中海古老传统,,波斯—伊朗文学传统,,,未读,自动通过,神话书单.md:260
旅行书（埃夫利亚·切莱比）.md,WL-WORK-T2-SEYAHATNAME,旅行书,Seyahatnâme,埃夫利亚·切莱比,Evliya Çelebi,,T2 早期现代文学,R1 西亚—地中海古老传统,,土耳其—奥斯曼文学传统,,,未读,手工核验,
时间调校研究所.md,WL-WORK-3190,时间调校研究所,Saatleri Ayarlama Enstitüsü,艾哈迈德·哈姆迪·坦普纳尔,Ahmet Hamdi Tanpınar,read_status: 未读,T5 二战后多极文学,R1 西亚—地中海古老传统,,土耳其—奥斯曼文学传统,,CANON-249,未读,需复核,
普塔霍特普教谕.md,WL-WORK-R1-PTAHHOTEP,普塔霍特普教谕,Instruction of Ptahhotep,普塔霍特普,Ptahhotep,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,◆,古埃及文学传统,智慧/教诲文学,,未读,手工核验,
本达希申.md,WL-WORK-1472,本达希申,,佚名,,,T1 中古多中心文学世界,R1 西亚—地中海古老传统,,波斯—伊朗文学传统,,,未读,自动通过,神话书单.md:244
杰夫代特先生和他的儿子们.md,WL-WORK-1159,杰夫代特先生和他的儿子们,,奥尔罕·帕慕克,Orhan Pamuk,,T6 当代全球文学,R1 西亚—地中海古老传统,,土耳其—奥斯曼文学传统,,,未读,自动通过,家族书单.md:1240;家族书单.md:2597
果园.md,WL-WORK-3166,果园,Būstān,萨迪,Saadi,read_status: 未读,T1 中古多中心文学世界,R1 西亚—地中海古老传统,,波斯—伊朗文学传统,,CANON-214,未读,需复核,
棺椁铭文.md,WL-WORK-1476,棺椁铭文,,佚名,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,古埃及文学传统,,,未读,自动通过,神话书单.md:219
海法归来.md,WL-WORK-1772,海法归来,,格桑·卡纳法尼,Ghassan Kanafani,,T5 二战后多极文学,R1 西亚—地中海古老传统,,阿拉伯文学传统,,,未读,自动通过,二战后多极书单.md:1180
烈日下的人们.md,WL-WORK-1783,烈日下的人们,,格桑·卡纳法尼,Ghassan Kanafani,,T5 二战后多极文学,R1 西亚—地中海古老传统,,阿拉伯文学传统,,,未读,自动通过,二战后多极书单.md:652
爱的艺术.md,WL-WORK-2095,爱的艺术,,奥维德,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,罗马与拉丁文学传统,,,未读,自动通过,爱情书单.md:156
爱经.md,WL-WORK-2096,爱经,,奥维德,注意,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,罗马与拉丁文学传统,,,未读,自动通过,爱情书单.md:176;爱情书单.md:178
犹大·哈列维诗歌.md,WL-WORK-R1-JUDAH-HALEVI-POEMS,犹大·哈列维诗歌,Poems of Judah Halevi,犹大·哈列维,Judah Halevi,,T1 中古多中心文学世界,R1 西亚—地中海古老传统,△,希伯来—犹太文学传统,中古希伯来诗歌,,未读,手工核验,
玛斯纳维.md,WL-WORK-3165,玛斯纳维,Masnavi-ye Ma'navi,鲁米,Rumi (Jalal al-Din Muhammad Balkhi),read_status: 未读,T1 中古多中心文学世界,R1 西亚—地中海古老传统,,波斯—伊朗文学传统,,CANON-213,未读,需复核,
理想国.md,WL-WORK-1213,理想国,,柏拉图,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,古希腊文学传统,,,未读,自动通过,反乌托邦书单.md:85
甘露街.md,WL-WORK-1216,甘露街,,纳吉布·马哈福兹,Naguib Mahfouz,,T5 二战后多极文学,R1 西亚—地中海古老传统,,阿拉伯文学传统,,,未读,自动通过,家族书单.md:1205
瘦子麦麦德.md,WL-WORK-3191,瘦子麦麦德,İnce Memed,亚沙尔·凯马尔,Yaşar Kemal,read_status: 未读,T5 二战后多极文学,R1 西亚—地中海古老传统,,土耳其—奥斯曼文学传统,,CANON-250,未读,需复核,
盐城.md,WL-WORK-3189,盐城,Mudun al-Milh,阿卜杜勒拉赫曼·穆尼夫,Abdelrahman Munif,read_status: 未读,T6 当代全球文学,R1 西亚—地中海古老传统,,阿拉伯文学传统,,CANON-248,未读,需复核,
盲枭.md,WL-WORK-1812,盲枭,The Blind Owl,萨迪克·赫达亚特,Sadegh Hedayat,,T4 全球现代主义时代,R1 西亚—地中海古老传统,,波斯—伊朗文学传统,,,未读,手工核验,现代主义书单.md:924;现代主义书单.md:926;不可靠叙述书单.md:262;不可靠叙述书单.md:468;不可靠叙述书单.md:503
神谱.md,WL-WORK-1490,神谱,Theogony,赫西俄德,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,古希腊文学传统,,,未读,手工核验,神话书单.md:1037;神话书单.md:1358;神话书单.md:1424;神话书单.md:276;神话书单.md:282;神话书单.md:675
禁忌之恋.md,WL-WORK-R1-ASK-I-MEMNU,禁忌之恋,Aşk-ı Memnu,哈立德·齐亚·乌沙克勒吉尔,Halid Ziya Uşaklıgil,1900,T4 全球现代主义时代,R1 西亚—地中海古老传统,★,土耳其—奥斯曼文学传统,晚奥斯曼/Servet-i Funun小说,,未读,手工核验,
移居北方的时节.md,WL-WORK-2851,移居北方的时节,Season of Migration to the North,塔伊卜·萨利赫,Tayeb Salih,read_status: 未读,T5 二战后多极文学,R1 西亚—地中海古老传统,,,,CANON-190,未读,需复核,
米示拿.md,WL-WORK-R1-MISHNAH,米示拿,Mishnah,多位编纂者,Various,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,◆,希伯来—犹太文学传统,拉比/塔木德解释传统,,未读,手工核验,
约伯记.md,WL-WORK-1492,约伯记,,佚名,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,希伯来—犹太文学传统,,CANON-010,未读,自动通过,神话书单.md:176
编年史（塔西佗）.md,WL-WORK-R1-TACITUS-ANNALS,编年史（塔西佗）,Annals,塔西佗,Tacitus,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,◆,罗马与拉丁文学传统,历史书写,,未读,手工核验,
美狄亚.md,WL-WORK-1496,美狄亚,,欧里庇得斯,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,古希腊文学传统,,CANON-007,未读,自动通过,神话书单.md:1367;神话书单.md:365
能言善辩的农夫.md,WL-WORK-R1-ELOQUENT-PEASANT,能言善辩的农夫,The Eloquent Peasant,佚名,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,◆,古埃及文学传统,社会修辞/申诉叙事,,未读,手工核验,
船难水手的故事.md,WL-WORK-1499,船难水手的故事,,佚名,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,古埃及文学传统,,,未读,自动通过,神话书单.md:222
苏乌尚.md,WL-WORK-R1-SAVUSHUN,苏乌尚,Savushun,西敏·达内什瓦尔,Simin Daneshvar,1969,T5 二战后多极文学,R1 西亚—地中海古老传统,△,波斯—伊朗文学传统,现代社会小说/女性写作,,未读,手工核验,
荷马颂歌.md,WL-WORK-1503,荷马颂歌,,佚名,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,古希腊文学传统,,,未读,自动通过,神话书单.md:1360;神话书单.md:304
荷鲁斯与塞特之争.md,WL-WORK-1504,荷鲁斯与塞特之争,,佚名,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,古埃及文学传统,,,未读,自动通过,神话书单.md:220
莱拉与马吉农（福祖里）.md,WL-WORK-R1-FUZULI-LAYLA-MAJNUN,莱拉与马吉农（福祖里）,Leylâ vü Mecnûn,福祖里,Fuzuli,1536,T2 早期现代文学,R1 西亚—地中海古老传统,★,土耳其—奥斯曼文学传统,波斯叙事母题的土耳其语重写;马斯纳维传统;奥斯曼多语文学场,,未读,手工核验,
莱拉和马吉农.md,WL-WORK-2127,莱拉和马吉农,,内扎米,,,T1 中古多中心文学世界,R1 西亚—地中海古老传统,,波斯—伊朗文学传统,,CANON-062,未读,自动通过,爱情书单.md:1769;爱情书单.md:268
萨福诗歌.md,WL-WORK-R1-SAPPHO,萨福诗歌,Poems of Sappho,萨福,Sappho,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,◆,古希腊文学传统,抒情诗,,未读,手工核验,
蔷薇园.md,WL-WORK-3186,蔷薇园,Gulistān,萨迪,Saadi,read_status: 未读,T1 中古多中心文学世界,R1 西亚—地中海古老传统,,波斯—伊朗文学传统,,CANON-244,未读,需复核,
论演说家.md,WL-WORK-R1-DE-ORATORE,论演说家,De Oratore,西塞罗,Cicero,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,△,罗马与拉丁文学传统,演说/修辞,,未读,手工核验,
讽刺诗（尤维纳利斯）.md,WL-WORK-R1-JUVENAL-SATIRES,讽刺诗（尤维纳利斯）,Satires,尤维纳利斯,Juvenal,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,△,罗马与拉丁文学传统,罗马讽刺,,未读,手工核验,
贺拉斯颂歌.md,WL-WORK-T0-HORACE-ODES,贺拉斯颂歌,Odes,贺拉斯,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,◆,罗马与拉丁文学传统,抒情诗,,未读,,
辛努赫传.md,WL-WORK-T0-SINUHE,辛努赫传,The Tale of Sinuhe,佚名,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,古埃及文学传统,,,未读,手工核验,
酒神的伴侣.md,WL-WORK-1511,酒神的伴侣,,欧里庇得斯,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,古希腊文学传统,,,未读,自动通过,神话书单.md:366
酒神的女信徒.md,WL-WORK-1512,酒神的女信徒,,欧里庇得斯,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,古希腊文学传统,,,未读,自动通过,神话书单.md:1368;神话书单.md:366
重返海法.md,WL-WORK-2141,重返海法,,格桑·卡纳法尼,Kanafani,,T5 二战后多极文学,R1 西亚—地中海古老传统,,阿拉伯文学传统,,,未读,自动通过,战争书单.md:1590;战争书单.md:2400
金字塔铭文.md,WL-WORK-1513,金字塔铭文,,佚名,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,古埃及文学传统,,,未读,自动通过,神话书单.md:218
金驴记.md,WL-WORK-R1-GOLDEN-ASS,金驴记,The Golden Ass,阿普列尤斯,Apuleius,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,◆,罗马与拉丁文学传统,小说/散文虚构,,未读,手工核验,
锡安之爱.md,WL-WORK-R1-AHAVAT-ZION,锡安之爱,Ahavat Zion,亚伯拉罕·马普,Abraham Mapu,1853,T3 19世纪现代文学体系,R1 西亚—地中海古老传统,★,希伯来—犹太文学传统,现代希伯来小说形成;哈斯卡拉与现代文类转型;圣经语言资源的现代重组,,未读,手工核验,
队列.md,WL-WORK-0478,队列,The Queue,巴斯玛·阿卜杜勒·阿齐兹,Basma Abdel Aziz,,,R1 西亚—地中海古老传统,,阿拉伯文学传统,,,未读,自动通过,反乌托邦书单.md:1380;反乌托邦书单.md:911
阿卡特史诗.md,WL-WORK-1514,阿卡特史诗,,佚名,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,黎凡特—迦南与乌加里特文学传统,,,未读,自动通过,神话书单.md:144
阿尔戈船英雄纪.md,WL-WORK-0865,阿尔戈船英雄纪,Argonautica,阿波罗尼奥斯,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,◆,古希腊文学传统,希腊化文学,,未读,人工核验,冒险书单.md:118;冒险书单.md:2136;冒险书单.md:218;神话书单.md:1364;神话书单.md:343
阿特拉哈西斯史诗.md,WL-WORK-1516,阿特拉哈西斯史诗,,佚名,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,两河文学传统,,,未读,自动通过,神话书单.md:113
阿维斯塔.md,WL-WORK-1517,阿维斯塔,,佚名,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,波斯—伊朗文学传统,,,未读,自动通过,神话书单.md:237
鲁拜集.md,WL-WORK-2821,鲁拜集,Rubaiyat,欧玛尔·海亚姆,Omar Khayyam,read_status: 未读,T1 中古多中心文学世界,R1 西亚—地中海古老传统,,波斯—伊朗文学传统,,CANON-061,未读,需复核,
鲁斯塔姆与苏赫拉布.md,WL-WORK-1520,鲁斯塔姆与苏赫拉布,,菲尔多西,,,T1 中古多中心文学世界,R1 西亚—地中海古老传统,,波斯—伊朗文学传统,,,未读,自动通过,神话书单.md:259
鸟的会议.md,WL-WORK-2822,鸟的会议,The Conference of the Birds,阿塔尔,Attar of Nishapur,read_status: 未读,T1 中古多中心文学世界,R1 西亚—地中海古老传统,,波斯—伊朗文学传统,,CANON-063,未读,需复核,
